official_source_url,dataset_url,access_date,covered_period,file_name,local_path,file_size,sha256,resource_id,resource_title,resource_format,resource_last_modified,licensing_reuse_note,analysis_role
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/215bafd0-031e-4106-9b59-694e0f222e5f/download/fuelcheck_pricehistory_mar25.xlsx,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-03,fuelcheck_pricehistory_mar25.xlsx,raw/fuelcheck_history/fuelcheck_pricehistory_mar25.xlsx,2673531,9514cdc6b03382c12c7609e786a016b8e22ad09b0924b4b44965019c108fc01a,215bafd0-031e-4106-9b59-694e0f222e5f,FuelCheck Price History Mar 2025,XLSX,2025-03-31T22:01:54.862729,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,buffer
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/9931c7da-83d6-4ca7-9441-9305e0f851e1/download/fuelcheck_pricehistory_apr2025.xlsx,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-04,fuelcheck_pricehistory_apr2025.xlsx,raw/fuelcheck_history/fuelcheck_pricehistory_apr2025.xlsx,2495923,9ea80dbedb6c3241c0b1168d751a95cdacea25d9001228ef321b8a80ef150b60,9931c7da-83d6-4ca7-9441-9305e0f851e1,FuelCheck Price History Apr 2025,XLSX,2025-05-08T02:26:22.720848,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/36a03fb6-ff84-48e2-956f-dd1e0365f38b/download/fuelcheck_pricehistory_may2025.xlsx,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-05,fuelcheck_pricehistory_may2025.xlsx,raw/fuelcheck_history/fuelcheck_pricehistory_may2025.xlsx,3316867,62dee1cbccb64d29deae69fb40a69f9dc63256a67e21a4c7fda49a47056bc921,36a03fb6-ff84-48e2-956f-dd1e0365f38b,FuelCheck Price History May 2025,XLSX,2025-06-26T03:46:53.904762,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/df5c9553-433c-4a90-a5a9-de19ecc543f6/download/price_history_checks_jun2025.csv,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-06,price_history_checks_jun2025.csv,raw/fuelcheck_history/price_history_checks_jun2025.csv,8111492,ac33032b1f8a5e12ca7c8509247fc23ac9b7f9ce3414227a53042bab5c7fe3fd,df5c9553-433c-4a90-a5a9-de19ecc543f6,FuelCheck Price History June 2025,CSV,2025-07-01T01:18:49.070609,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/55416beb-6bba-46ff-ae35-a238a2001f08/download/fuelcheck_pricehistory_july2025.xlsx,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-07,fuelcheck_pricehistory_july2025.xlsx,raw/fuelcheck_history/fuelcheck_pricehistory_july2025.xlsx,3116688,e2a4d8f2bca759bb4ba7d8f9d9204ba93f439958964fe28781b6edf1ff10718a,55416beb-6bba-46ff-ae35-a238a2001f08,FuelCheck Price History July 2025,XLSX,2025-08-04T02:38:35.079616,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/e8452b3b-2e02-4577-8f39-35a07b9e99b9/download/fuelcheck_pricehistory_aug2025.xlsx,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-08,fuelcheck_pricehistory_aug2025.xlsx,raw/fuelcheck_history/fuelcheck_pricehistory_aug2025.xlsx,3302087,d7b045897d90e6a90435949268a4166c0a5f25fa0971b11849c950d33ea8437d,e8452b3b-2e02-4577-8f39-35a07b9e99b9,FuelCheck Price History Aug 2025,XLSX,2025-09-02T01:36:28.124285,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/e12a757e-a9fe-4cbe-9034-55f00314c72b/download/fuelcheck_pricehistory_sep2025.xlsx,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-09,fuelcheck_pricehistory_sep2025.xlsx,raw/fuelcheck_history/fuelcheck_pricehistory_sep2025.xlsx,2948497,846acd5c7eb390679d48bb2f775acbc0640d8399a07a113de575d45a5905623d,e12a757e-a9fe-4cbe-9034-55f00314c72b,Fuel Check Price History September 2025,CSV,2025-10-07T03:42:11.979735,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/c5ae66f9-9324-49b9-8f90-07cd6eb12d42/download/price_history_checks_oct2025.csv,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-10,price_history_checks_oct2025.csv,raw/fuelcheck_history/price_history_checks_oct2025.csv,8184408,3f25e6de56734b82be52ebf5a5e465df46515faa44d7a48e004625d3c2baec0b,c5ae66f9-9324-49b9-8f90-07cd6eb12d42,FuelCheck Price History October 2025,CSV,2025-11-04T00:58:18.804327,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/e9dc591d-17ee-4433-9d75-da75b4f09237/download/fuelcheck_pricehistory_nov2025.xlsx,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-11,fuelcheck_pricehistory_nov2025.xlsx,raw/fuelcheck_history/fuelcheck_pricehistory_nov2025.xlsx,3512770,7efdd73787e7809bd567de582cf4a8a85d24d30aa94d4dc8552becd75e424203,e9dc591d-17ee-4433-9d75-da75b4f09237,FuelCheck Price History November 2025,XLSX,2025-12-01T21:13:14.996368,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
https://data.nsw.gov.au/data/dataset/a97a46fc-2bdd-4b90-ac7f-0cb1e8d7ac3b/resource/6794ad02-fd2b-44a6-be9c-55f726b266c0/download/fuelcheck_pricehistory_dec2025.xlsx,https://data.nsw.gov.au/data/dataset/fuel-check,2026-07-25,2025-12,fuelcheck_pricehistory_dec2025.xlsx,raw/fuelcheck_history/fuelcheck_pricehistory_dec2025.xlsx,3888280,cfb2b5da453c77c03fcf7e6ba27166ecf6c81828de0f1c6cf802bc29f476a13e,6794ad02-fd2b-44a6-be9c-55f726b266c0,FuelCheck Price History December 2025,XLSX,2026-01-14T23:30:23.138536,NSW Data FuelCheck resources list Creative Commons Attribution Share-Alike. Reuse should attribute the NSW Government/Data.NSW source and follow the listed licence.,analysis
