turning_type,date,price,smooth_detection_date,smooth_detection_price,parameter_set,method
trough,2025-04-16,165.875,2025-04-15,167.1558000437987,default_v1,reconstructed_eod_panel_cap7
peak,2025-04-30,194.9238663484487,2025-05-01,192.99138017210834,default_v1,reconstructed_eod_panel_cap7
trough,2025-05-21,158.35885714285712,2025-05-21,160.229695280311,default_v1,reconstructed_eod_panel_cap7
peak,2025-06-10,193.0830578512397,2025-06-07,191.83851299120076,default_v1,reconstructed_eod_panel_cap7
trough,2025-06-22,172.7012219959267,2025-06-23,173.1624285448798,default_v1,reconstructed_eod_panel_cap7
peak,2025-07-08,200.81296703296707,2025-07-08,196.17248594377932,default_v1,reconstructed_eod_panel_cap7
trough,2025-07-27,160.5943820224719,2025-07-26,162.00574770256003,default_v1,reconstructed_eod_panel_cap7
peak,2025-08-06,190.59430894308946,2025-08-07,188.2456253177611,default_v1,reconstructed_eod_panel_cap7
trough,2025-08-28,165.88771593090212,2025-08-27,166.36915259187262,default_v1,reconstructed_eod_panel_cap7
peak,2025-09-10,196.0133484162896,2025-09-12,193.48483726527658,default_v1,reconstructed_eod_panel_cap7
trough,2025-10-03,166.3858620689655,2025-10-03,166.80559588885225,default_v1,reconstructed_eod_panel_cap7
peak,2025-10-15,195.6307855626327,2025-10-16,193.30574812492046,default_v1,reconstructed_eod_panel_cap7
trough,2025-11-04,170.03675564681723,2025-11-03,171.10908215860576,default_v1,reconstructed_eod_panel_cap7
peak,2025-11-18,202.00448430493273,2025-11-18,198.08042534804454,default_v1,reconstructed_eod_panel_cap7
trough,2025-12-03,169.03671586715868,2025-12-03,171.673879070047,default_v1,reconstructed_eod_panel_cap7
peak,2025-12-14,201.63071895424838,2025-12-14,199.57892975710269,default_v1,reconstructed_eod_panel_cap7
trough,2026-01-11,159.2390243902439,2026-01-10,160.58276467966198,default_v1,reconstructed_eod_panel_cap7
peak,2026-01-26,186.70419753086423,2026-01-25,185.73999391255418,default_v1,reconstructed_eod_panel_cap7
trough,2026-02-17,157.72256728778467,2026-02-14,158.4822329055041,default_v1,reconstructed_eod_panel_cap7
trough,2025-04-16,163.65343137254902,2025-04-13,165.51173544487145,default_v1,station_day_last_mean
peak,2025-05-02,194.75206896551722,2025-05-01,191.7843532494698,default_v1,station_day_last_mean
trough,2025-05-21,157.67142857142858,2025-05-19,160.8863848989321,default_v1,station_day_last_mean
peak,2025-06-10,195.49081967213115,2025-06-12,188.46670175010286,default_v1,station_day_last_mean
trough,2025-06-29,166.66585365853658,2025-06-27,171.8569280045493,default_v1,station_day_last_mean
peak,2025-07-09,197.69710144927538,2025-07-08,193.0238511286013,default_v1,station_day_last_mean
trough,2025-07-27,158.5159420289855,2025-07-24,162.26228228770148,default_v1,station_day_last_mean
peak,2025-08-07,189.81704545454548,2025-08-07,186.4858345089699,default_v1,station_day_last_mean
trough,2025-08-28,165.34619883040935,2025-08-27,166.59152239047535,default_v1,station_day_last_mean
peak,2025-09-16,195.59787985865725,2025-09-14,190.083166420705,default_v1,station_day_last_mean
trough,2025-10-01,166.19778597785978,2025-10-03,167.14635425014754,default_v1,station_day_last_mean
peak,2025-10-17,196.30912280701753,2025-10-16,192.58518925372923,default_v1,station_day_last_mean
trough,2025-11-06,170.93012820512823,2025-11-05,172.35300075661684,default_v1,station_day_last_mean
peak,2025-11-20,200.70600000000002,2025-11-20,195.7556656517856,default_v1,station_day_last_mean
trough,2025-12-02,169.41084337349398,2025-12-02,172.66208910900448,default_v1,station_day_last_mean
peak,2025-12-18,202.95876623376626,2025-12-17,197.16802121165242,default_v1,station_day_last_mean
trough,2026-01-10,158.7414201183432,2026-01-10,160.91691285188307,default_v1,station_day_last_mean
peak,2026-01-27,187.30880281690142,2026-01-25,183.67709539359868,default_v1,station_day_last_mean
trough,2026-02-17,155.72885375494073,2026-02-14,157.25326366854446,default_v1,station_day_last_mean
trough,2025-04-16,163.80351307189542,2025-04-13,165.80094873617372,default_v1,station_day_mean_equal_weight
peak,2025-05-02,195.44182183908046,2025-05-02,192.31223953210815,default_v1,station_day_mean_equal_weight
trough,2025-05-21,158.0551917989418,2025-05-19,161.29147149722002,default_v1,station_day_mean_equal_weight
peak,2025-06-10,195.69120218579235,2025-06-12,188.85115252656243,default_v1,station_day_mean_equal_weight
trough,2025-06-29,167.05264227642277,2025-06-27,172.24936439398584,default_v1,station_day_mean_equal_weight
peak,2025-07-09,198.16340579710143,2025-07-09,193.05248873123492,default_v1,station_day_mean_equal_weight
trough,2025-07-27,159.03574879227054,2025-07-24,162.5724585333771,default_v1,station_day_mean_equal_weight
peak,2025-08-07,190.2348484848485,2025-08-08,186.54893130287437,default_v1,station_day_mean_equal_weight
trough,2025-08-28,165.56910331384015,2025-08-27,166.73189795552304,default_v1,station_day_mean_equal_weight
peak,2025-09-16,196.02122328790173,2025-09-14,190.533998356837,default_v1,station_day_mean_equal_weight
trough,2025-10-01,166.04218942189422,2025-10-03,167.38425405123,default_v1,station_day_mean_equal_weight
